sex,kanji,hiragana,pageid,birth_year,blood_type,height,weight,occupation,education,birth_place,birth_date,nationality,infobox
female,相本 久美子,あいもと くみこ,65980,1958.0,,,,,,,,,-1
female,愛沢 りん,あいざわ りん,317406,1985.0,,,,,,,,,-1
female,愛禾 みさ,あいか みさ,930476,1976.0,,,,,,,,,-1
female,相川 恵里,あいかわ えり,1185649,1972.0,,,,,,,,,-1
female,揚田 亜紀,あがりた あき,232802,1972.0,,,,,,,,,-1
female,我妻 佳代,あがつま かよ,345340,1968.0,,,,,,,,,-1
female,愛河 姫奈,あいかわ ひめな,1497110,1988.0,,,,,,,,,-1
female,相田 翔子,あいだ しょうこ,1614887,1970.0,,,,女優、歌手、タレント,文華女子高等学校卒,{{JPN}}、東京都東村山市別冊宝島2611『80年代アイドルcollection』p.51,{{生年月日と年齢|1970|2|23}},,-1
female,赤坂 芳恵,あかさか よしえ,430499,1968.0,,,,,,,,,-1
female,秋山 ゆりか,あきやま ゆりか,1024047,1992.0,,,,,,,,,-1
female,秋 ひとみ,あき ひとみ,1377438,1957.0,-,,,歌手、タレント,住吉学園高等学校 卒業,{{JPN}}・大阪府大阪市住吉区,1957年10月17日,,-1
female,青木 美冴,あおき みさえ,1746170,1960.0,,,,歌手・女優,堀越高等学校 卒業,{{JPN}}・東京都,{{生年月日と年齢|1960|04|28}},,-1
female,藍谷 莉穂,あいたに りほ,1819649,1993.0,,,,,,,,,-1
female,葵 わかな,あおい わかな,1880515,1998.0,,,,,,,,,-1
female,秋野 ひとみ,あきの ひとみ,1476577,1979.0,,,,,,,,,-1
female,進藤 奈邦子,しんどう なほこ,1641078,1963.0,,,,内科学感染症学,東京慈恵会医科大学医学部東京慈恵会医科大学大学院,{{Flagicon|JPN}} 大阪府大阪市,{{Birth year and age|1963}},,-1
female,秋本 理央,あきもと りお,1736091,1965.0,,,,,,,,,-1
female,斯波 園女,しば そのめ,1777948,1664.0,,,,俳諧師、雑俳点者、眼科医,,伊勢国 山田,1664年,,-1
female,藍田 舞,あいだ まい,2013500,1988.0,,,,,,,,,-1
female,相川 結,あいかわ ゆう,2081223,1994.0,,,,,,,,,-1
female,相川 聖奈,あいかわ せいな,2095567,1996.0,,,,,,,,,-1
female,相多 愛,あいた あい,2172659,1989.0,,,,,,,,,-1
female,秋元 才加,あきもと さやか,1994827,1988.0,,,,,,,,,-1
female,愛川 こずえ,あいかわ こずえ,2259781,1991.0,,,,,,,,,-1
female,秋元 彩香,あきもと あやか,2302766,1975.0,,,,,,,,,-1
female,秋田 知里,あきた ちさと,2639815,1994.0,,,,,,,,,-1
female,相沢 梨紗,あいざわ りさ,3251540,,,,,,,,,,-1
female,秋元 真夏,あきもと まなつ,2758396,1993.0,,,,,,,,,-1
female,相谷 レイナ,あいたに れいな,3455399,1994.0,,,,シンガーソングライター,大阪大学人間科学部社会学科卒業,{{JPN}}・奈良県生駒市,{{生年月日と年齢|1994|07|18}},,-1
female,茜屋 日海夏,あかねや ひみか,2927648,1994.0,,,,,,,,,-1
female,愛宮 歌梨,あいみや かりん,3554812,2001.0,,,,,,,,,-1
female,青山 ひかる,あおやま ひかる,2946411,1993.0,,,,,,,,,-1
female,秋山 ゆずき,あきやま ゆずき,3107295,1993.0,,,,,,,,,-1
female,秋本 帆華,あきもと ほのか,3230541,1997.0,,,,,,,,,-1
female,川村 優希,かわむら ゆうき,3232695,1985.0,,,,,,,,,-1
female,武田 桃子,たけだ ももこ,5147363,,,,,,,,,,-1
female,賀川 滋子,かがわ しげこ,5120194,1911.0,,,,,,{{JPN}} 奈良県生駒郡郡山町（現：大和郡山市）,{{生年月日と年齢|1911|05|28}},{{JPN}},-1
female,設楽 詠美子,しだら えみこ,5078372,1976.0,,,,,,,,,-1
female,青野 夏希,あおの なつき,4976983,1996.0,,,,,,,,,-1
female,柏崎 良子,かしわざき りょうこ,4706044,1954.0,,,,医師,横浜市立大学,{{JPN}}・茨城県鹿嶋市,{{生年月日と年齢|1954||}},{{JPN}},-1
female,高橋 幸子,たかはし さちこ,4696420,1975.0,,,,産婦人科医,,青森県弘前市,1975年,{{JPN}},-1
female,青葉 ひなり,あおば ひなり,4602150,1996.0,,,,,,,,,-1
female,草野 央,くさの ちか,4598311,,,,,,,,,,-1
female,赤坂 麻凪,あかさか まな,4407138,2001.0,,,,,,,,,-1
female,青柳 佑芽,あおやぎ ゆめ,4276694,2001.0,,,,,,,,,-1
female,青山 菜花,あおやま なのは,4230691,2008.0,,,,,,,,,-1
female,伊藤 明子,いとう みつこ,4019057,,,,,,東京外国語大学外国語学部イタリア語学科帝京大学医学部医学科東京大学大学院医学系研究科,,,{{JPN}},-1
female,秋山 絵美,あきやま えみ,3991598,1968.0,,,,,,,,,-1
female,秋山 眞緒,あきやま まお,3874658,2002.0,B型,,,歌手,,{{JPN}} 大阪府,{{生年月日と年齢|2002|07|29}},,-1
female,秋葉 令奈,あきば れな,3625742,,,,,,,,,,-1
female,秋山 衣梨佳,あきやま えりか,3392061,1994.0,,,,,,,,,-1
female,川田 靖子,かわだ やすこ,3368618,,,,,,,,,,-1
female,高柳 和江,たかやなぎ かずえ,3266569,,,,,,,,,,-1
female,青井 海優,あおい みゆう,4795997,1998.0,,,,,,,,,-1
female,愛瀬 りお,あいせ りお,4653879,2007.0,,,,,,,,,-1
female,藍川 はるか,あいかわ はるか,4570741,,,154cm,45kg,,,大阪府大阪市天神橋筋6丁目,非公開,,-1
female,葵 涼花,あおい りょうか,4459959,1995.0,,,,,,,,,-1
female,相羽 星良,あいば せいら,4346247,2006.0,,,,,,,,,-1
female,相川 暖花,あいかわ ほのか,4305715,2003.0,,,,,,,,,-1
female,青海 ひな乃,あおうみ ひなの,4232428,2000.0,,,,,,,,,-1
female,青科 まき,あおしな まき,4140101,1997.0,,,,,,,,,-1
female,愛敬 淳希,あいけい あつき,4137628,2004.0,,,,,,,,,-1
female,愛迫 みゆ,あいさこ みゆ,4036998,1991.0,,,,,,,,,-1
female,藍田 真潮,あいだ ましお,4017438,1976.0,,,,,,,,,-1
female,相川 くるみ,あいかわ くるみ,3989431,2003.0,,,,,,,,,-1
female,藍染 カレン,あいぞめ かれん,3941209,1997.0,,,,,,,,,-1
female,相川 なつ,あいかわ なつ,3780086,,,,,歌手、作詞家、声優、女優,,{{JPN}}・東京都,1989年8月31日,,-1
female,相澤 瑠香,あいざわ るか,3725225,1999.0,,,,,,,,,-1
female,藍田 麻利衣,あいだ まりえ,3668056,1992.0,,,,,,,,,-1
female,浅野 ゆう子,あさの ゆうこ,44173,,,,,,,,,,-1
female,浅田 美代子,あさだ みよこ,110124,1956.0,,,,,,,,,-1
female,麻丘 めぐみ,あさおか めぐみ,211724,1955.0,,,,,,,,,-1
female,浅倉 亜季,あさくら あき,336637,1968.0,,,,,,,,,-1
female,浅川 稚広,あさかわ ちひろ,416773,1978.0,,,,,,,,,-1
female,浅野 愛子,あさの あいこ,819767,1970.0,,,,,,,,,-1
female,麻田 華子,あさだ はなこ,901944,,,,,,,,,,-1
female,朝日 奈央,あさひ なお,1293887,1994.0,,,,,,,,,-1
female,浅奈 深雪,あさな みゆき,1477867,1991.0,,,,,,,,,-1
female,吉田 小江子,よしだ さえこ,1676954,1981.0,,,,,,,,,-1
female,朝川 ことみ,あさかわ ことみ,1777411,1989.0,,,,,,,,,-1
female,麻 友美,あさ ともみ,2093021,1992.0,,,,,,,,,-1
female,野中 婉,のなか えん,2306716,1661.0,,,,,,,,,-1
female,富坂 美織,とみさか みおり,2484022,,,,,産婦人科医医学博士,順天堂大学医学部ハーバード大学大学院,{{Flagicon|JPN}} 東京都,,,-1
female,朝倉 理恵,あさくら りえ,2487821,1953.0,,,,,,,,,-1
female,松永 佳世子,まつなが かよこ,2822417,1951.0,,,,医師,名古屋大学医学部,,1951年,,-1
female,浅 香唯,あさか ゆい,2831489,1969.0,,,,歌手、女優、タレント、アイドル,明治大学付属中野高等学校{{Sfn|日外アソシエーツ|1994|p=17}}定時制卒業,{{JPN}}・宮崎県宮崎市{{Cite web|和書|url=http://www.yui-asaka.com/about_index.html |title=公式プロフィール |work=YUI'S AVENUE |accessdate=2014-05-08}},{{生年月日と年齢|1969|12|4}},,-1
female,浅川 梨奈,あさかわ なな,2905439,1999.0,,,,,,,,,-1
female,明日 待子,あした まつこ,3130218,1920.0,,,,,,,,,-1
female,安倍 麻美,あべ あさみ,25137,1985.0,,,,,,,,,-1
female,安倍 なつみ,あべ なつみ,26048,1981.0,A型,,,歌手,,{{JPN}} 北海道室蘭市,{{生年月日と年齢|1981|8|10}},,-1
female,あべ 静江,あべ しずえ,68884,,A型,,,歌手、女優,東海学園女子短期大学,{{JPN}}・三重県松阪市中町,{{生年月日と年齢|1951|11|28}},,-1
female,天地 真理,あまち まり,171198,1951.0,,,,歌手、女優、アイドル、タレント,国立音楽高等学校 卒業,{{JPN}}・埼玉県大宮市（現：さいたま市）,{{生年月日と年齢|1951|11|5}},,-1
female,天川 美穂,あまかわ みほ,631098,1987.0,,,,,,,,,-1
female,阿部 由美子,あべ ゆみこ,832876,1968.0,,161,43,芸能プロダクション社長実業家,成蹊大学文学部,{{JPN}} 群馬県前橋市,{{生年月日と年齢|1968|1|11}},,-1
female,亜月 ちえみ,あづき ちえみ,912854,1984.0,,,,,,,,,-1
female,安谷屋 なぎさ,あだにや なぎさ,1013175,1990.0,,,,,,,,,-1
female,安達 祐実,あだち ゆみ,1045274,1981.0,,,,,,,,,-1
female,あびる 優,あびる ゆう,1492235,1986.0,,,,,,,,,-1
female,安倍川 緑,あべかわ みどり,2126824,1996.0,,,,,,,,,-1
female,雨宮 悠香,あまみや ゆうか,2397755,1992.0,A型,,,タレント,,{{JPN}} 兵庫県神戸市,,,-1
female,阿部 マリア,あべ マリア,2430669,1995.0,,,,,,,,,-1
female,穴井 千尋,あない ちひろ,2576096,1996.0,,,,,,,,,-1
female,綾瀬 はるか,あやせ はるか,2705129,1985.0,,,,,,,,,-1
female,穴井 夕子,あない ゆうこ,2803566,1974.0,,,,,,,,,-1
female,安室 奈美恵,あむろ なみえ,2831155,1977.0,,,,{{hlist-comma|歌手|ダンサー}},{{plainlist| * 沖縄県那覇市立城東小学校 * 沖縄県那覇市立石嶺中学校 * 沖縄アクターズスクール }},{{JPN}} 沖縄県那覇市首里石嶺町,{{生年月日と年齢|1977|9|20}},,-1
female,天羽 希純,あまう きすみ,2951255,1996.0,,,,,,,,,-1
female,彩川 ひなの,あやかわ ひなの,3027455,1995.0,,,,,,,,,-1
female,梓 玲華,あずさ れいか,5078291,2000.0,,,,,,,,,-1
female,雨宮 鈴奈,あめみや すずな,4958536,2006.0,,,,,,,,,-1
female,明日実 まあや,あすみ まあや,4958292,,,,,,,,,,-1
female,天野 なつ,あまの なつ,4773635,1993.0,,,,,,,,,-1
female,天野 小夜子,あまの さよこ,4597992,1968.0,,,,,,,,,-1
female,天野 香乃愛,あまの このあ,4567194,2007.0,,,,,,,,,-1
female,天野 きき,あまの きき,4517726,2005.0,,,,,,,,,-1
female,綾瀬 志希,あやせ しき,4368050,,,,,ボーカリスト,,{{JPN}} 埼玉県,3月14日,,-1
female,天音 利梛,あまね りな,4363060,1994.0,,,,,,,,,-1
female,安陪 恭加,あべ きょうか,4340624,1997.0,,,,ミュージシャン女優タレントモデル,,{{JPN}}・福岡県福岡市,{{生年月日と年齢|1997|7|17}},,-1
female,天沢 璃人,あまさわ りと,4310816,2000.0,,,,,,,,,-1
female,安部 若菜,あべ わかな,4307899,2001.0,,,,,,,,,-1
female,茜紬 うた,あづみ うた,4297527,1996.0,,,,,,,,,-1
female,綾瀬 麗奈,あやせ れいな,4116317,1994.0,,,,,,,,,-1
female,彩木 咲良,あやき さくら,4071682,2002.0,,,,,,,,,-1
female,天城 サリー,あまき サリー,3894134,,,,,,,,,,-1
female,雨宮 伊織,あまみや いおり,3864104,1993.0,,,,,,,,,-1
female,阿部 かれん,あべ かれん,3846486,2000.0,,,,,,,,,-1
female,天音 ねね,あまね ねね,3495605,,,,,,,,,,-1
female,阿部 夢梨,あべ ゆめり,3445719,2002.0,,,,,,,,,-1
female,雨宮 かのん,あめみや かのん,3369685,1999.0,,,,,,,,,-1
female,跡美 しゅり,あとみ しゅり,3322909,1995.0,,,,,,,,,-1
female,天木 じゅん,あまき じゅん,3221591,1995.0,,,,,,,,,-1
female,東 李苑,あずま りおん,3118994,1996.0,,,,,,,,,-1
female,三澤 園子,みさわ そのこ,5081800,,,,,,,,,,-1
female,浅原 凜,あさはら りん,5046865,2002.0,,,,,,,,,-1
female,芦原 優愛,あしはら ゆあ,5004516,1993.0,,,,,,,,,-1
female,朝野 ナツ,あさの ナツ,4952068,2002.0,,,,,,,,,-1
female,森崎 裕子,もりさき ひろこ,4919171,,,,,医学,東京大学医学部,{{Flagicon|JPN}},,{{JPN}},-1
female,麻丘 真央,あさおか まお,4908280,2004.0,,,,,,,,,-1
female,八田 真理子,はった まりこ,4844058,1965.0,,,,産婦人科,聖マリアンナ医科大学医学部,東京都,1965年7月5日,,-1
female,山口 有紗,やまぐち ありさ,4842027,1984.0,,,,医師,立命館大学国際関係学部卒業山口大学医学部卒業ジョンズ・ホプキンズ大学ブルームバーグ公衆衛生大学院修士課程修了,{{Flagicon|JPN}} 静岡県浜松市,1984年,{{JPN}},-1
female,朝比 奈南,あさひな みなみ,4798607,1994.0,,,,,,,,,-1
female,麻倉 瑞季,あさくら みずき,4739946,2002.0,,,,グラビアアイドル、タレント,,長崎県,2002年4月11日,,-1
female,野尻 知里,のじり ちさと,4664718,1952.0,,,,医師・テルモ上席執行役員{{sfn|日外アソシエーツ|2020|p=489}},,{{JPN}}愛知県豊川市{{Sfn|野尻知里|2015|p=81}},{{生年月日と年齢|1952|||no}},{{JPN}},-1
female,対馬 ルリ子,つしま ルリこ,4618743,1958.0,,,,,,,,,-1
female,足浮梨 ナコ,あしう りなこ,4442052,2005.0,,,,アイドル、シンガーソングライター,,{{JPN}},2005年11月8日,,-1
female,朝日 花奈,あさひ かな,4344616,1997.0,,,,元アイドル、女優,,日本・千葉県,1997年7月13日,日本,-1
female,日比野 佐和子,ひびの さわこ,4224462,,,,,,,,,,-1
female,山本 尚子,やまもと なおこ,4013997,1960.0,,,,感染症学公衆衛生学国際保健学,札幌医科大学岡山大学ジョンズ・ホプキンズ大学,{{Flagicon|JPN}} 岡山県岡山市,{{生年月日と年齢|1960|10|14}},,-1
female,朝倉 みずほ,あさくら みずほ,3914401,1997.0,,,,,,,,,-1
female,柳川 かおり,やながわ かおり,3610572,1976.0,,,,料理家 医師,-,{{JPN}} 新潟県,{{生年月日と年齢|1976|10|18}},,-1
female,朝比奈 祐未,あさひな ゆみ,3604240,1991.0,,,,,,,,,-1
female,浅野 杏奈,あさの あんな,3577020,2000.0,,,,,,,,,-1
female,朝日 奈藍,あさひな あい,3560104,1989.0,,,,,,,,,-1
female,穐吉 敏子,あきよし としこ,27358,1929.0,,,,ピアニスト作曲家編曲家ビッグバンドリーダー,バークリー音楽院卒業,{{CHN1928-1949}} 遼陽,{{生年月日と年齢|1929|12|12}},,-1
female,緒方 貞子,おがた さだこ,132964,1927.0,,,,,,,,,-1
female,金子 文子,かねこ ふみこ,51837,1903.0,,,,,,,,,-1
female,石牟礼 道子,いしむれ みちこ,143524,1927.0,,,,小説家・詩人,水俣実務学校（現 熊本県立水俣高等学校）卒業,{{JPN}}・熊本県天草郡河浦町（現・天草市）,{{生年月日と年齢|1927|3|11|no}},{{JPN}},-1
female,内田 光子,うちだ みつこ,67684,1948.0,,,,ピアニスト、指揮者,ウィーン音楽院,{{JPN}}静岡県熱海市,{{生年月日と年齢|1948|12|20}},,-1
female,堤 智恵子,つつみ ちえこ,138560,,,,,演奏家,東京音楽大学,{{JPN}},,,-1
female,安倍 圭子,あべ けいこ,154866,1937.0,,,,,,{{JPN}} 東京都,{{birth date and age|1937|04|18}},,-1
female,橋本 一子,はしもと いちこ,262965,1952.0,AB型,,,ピアニスト、作曲家,,{{flagicon|JPN}} 兵庫県神戸市,{{生年月日と年齢|1952|7|1}},,-1
female,山本 香苗,やまもと かなえ,568270,1971.0,,,,,,,,,-1
female,山根 敏子,やまね としこ,615602,1921.0,,,,,,,,,-1
female,林 美香,はやし みか,640861,1970.0,,,,,,,,,-1
female,小野 アンナ,おの アンナ,308991,1890.0,,,,ヴァイオリニスト、音楽教育者,ペテルブルク音楽院,,{{生年月日|1890|3|14}}{{RUS1883}}・サンクトペテルブルク,,-1
female,五嶋 みどり,ごとう みどり,316160,1971.0,,,,ヴァイオリニスト,,{{JPN}}大阪府枚方市,{{生年月日と年齢|1971|10|25}},,-1
female,今井 信子,いまい のぶこ,327204,1943.0,,,,ヴィオリスト,桐朋学園大学,{{JPN}}東京都,{{生年月日|1943|3|18}},,-1
female,上野 洋子,うえの ようこ,398803,1963.0,,,,シンガーソングライター歌手作曲家編曲家作詞家音楽プロデューサーキーボーディスト,,{{JPN}} 東京都,{{生年月日と年齢|1963|10|11}},,-1
female,坂東 眞理子,ばんどう まりこ,778026,1946.0,,,,評論家、元官僚,東京大学文学部,{{JPN}} 富山県,{{生年月日と年齢|1946|08|17}},,-1
female,井上 美代,いのうえ みよ,847842,1936.0,,,,,,,,,-1
female,杉井 明美,すぎい あけみ,944741,1950.0,,,,,,,,,-1
female,斎木 尚子,さいき なおこ,1189946,1958.0,,,,,,,,,-1
female,上野 砂由紀,うえの さゆき,2019997,1974.0,,,,,,,,,-1
female,市川 房枝,いちかわ ふさえ,309395,1893.0,,,,,,,,,-1
female,田中 希代子,たなか きよこ,410375,1932.0,,,,ピアニストピアノ教育者,旧制東京女子高等師範学校附属女学校中退,{{JPN}}・東京府,1932年2月5日,,-1
female,塩川 悠子,しおかわ ゆうこ,830359,1946.0,,,,,,,,,-1
female,荒井 晶子,あらい しょうこ,850431,1967.0,,,,,,,,,-1
female,庄司 紗矢香,しょうじ さやか,883244,1983.0,,,,ヴァイオリニスト,,東京都国分寺市,{{生年月日と年齢|1983|1|30}},,-1
female,中村 由利子,なかむら ゆりこ,929055,1958.0,,,,ピアニスト,フェリス女学院短期大学音楽科ピアノ科卒,{{JPN}}・神奈川県横浜市,{{生年月日と年齢|1958|6|3}},,-1
female,田付 辰子,たつけ たつこ,2459260,1899.0,,,,,,,,,-1
female,井上 華子,いのうえ はなこ,2810693,,,,,ガーデンデザイナー,恵泉女学園園芸短期大学,{{JPN}},,,-1
female,上田 修子,うえだ なおこ,3004594,1971.0,,,,,,,,,-1
female,志野 光子,しの みつこ,3040213,1963.0,,,,外交官,一橋大学法学部,愛知県西加茂郡三好町（現・みよし市）,{{生年月日と年齢|1963|7|24}},{{JPN}},-1
female,松川 るい,まつかわ るい,3453571,1971.0,,,,,,,,,-1
female,奥 むめお,おく むめお,313950,1895.0,,,,,,,,,-1
female,加藤 シヅエ,かとう シヅエ,326863,1897.0,,,,,,,,,-1
female,新井 薫子,あらい かおるこ,1006390,1965.0,,,,イラストレーター、現代美術家、元アイドル歌手,,{{JPN}} 愛知県名古屋市,{{生年月日と年齢|1965|6|4}},{{JPN}},-1
female,彩 音凛,あやね りん,1062071,1981.0,,,,,,,,,-1
female,高瀬 弘美,たかせ ひろみ,3455545,1981.0,,,,,,,,,-1
female,水鳥 真美,みずとり まみ,3738182,1960.0,,,,国連事務総長特別代表,一橋大学法学部スペイン外交官学校,{{JPN}}・東京都,{{生年月日と年齢|1960|11|15}},,-1
female,岡崎 友紀,おかざき ゆき,536446,1953.0,,,,,,,,,-1
female,安藤 裕子,あんどう ゆうこ,1194044,1972.0,,,,,,,,,-1
female,井上 祐子,いのうえ ゆうこ,1206034,,,,,,,,,,-1
female,荒井 祥恵,あらい さちえ,1215102,,O型,,,シンガーソングライター  昭和歌謡歌手,麹町学園女子高等学校 東横学園女子短期大学 京都芸術大学通信教育部,{{flagicon|JPN}} 千葉県市川市,4月2日,,-1
female,山根 星子,やまね ほしこ,3794447,1981.0,,,,{{Hlist-comma|音楽家|ヴァイオリニスト|擦弦楽器奏者|作曲家}},{{plainlist| * {{Flagicon|JPN}} 愛知県立芸術大学・大学院 * {{DEU}}・ロストック音楽大学 }},{{JPN}}・大阪府東大阪市,{{生年月日と年齢|1981|4|4}}{{Cite web|和書|url=https://twitter.com/hoshikoyamane/status/1510940348591321092 |title=誕生日って風船飛ぶんだ。。Twitterさんありがとう笑 |publisher=オフィシャルtwitter |date=2022-04-04 |accessdate=2022-04-07 }},,-1
female,岡井 朝子,おかい あさこ,3799925,1966.0,,,,国連事務次長補、国連開発計画総裁補兼危機局長,一橋大学法学部ケンブリッジ大学エマニュエル・カレッジ,{{JPN}}東京都,{{birth year and age|1966}},,-1
female,伊藤 千代子,いとう ちよこ,578767,1905.0,,,,,,,,,-1
female,嘉田 由紀子,かだ ゆきこ,601480,1950.0,,,,,,,,,-1
female,福嶌 香代子,ふくしま かよこ,3823124,,,,,,,,,,-1
female,村山 勝美,むらやま かつみ,3846563,,,,,ヴィオラ奏者、モデル,東京芸術大学音楽学部,{{JPN}},,,-1
female,井深 八重,いぶか やえ,603770,1897.0,,,,看護婦,同志社女学校専門学部,{{TAW1895}} 台北市,1897年10月23日,,-1
female,川奈 まり子,かわな まりこ,791276,1967.0,,,,作家コラムニスト人権活動家元AV女優,,{{JPN}} 東京都世田谷区,{{生年月日と年齢|1967|11|9}},,-1
female,加藤 タキ,かとう たき,877257,1945.0,,,,タキ・オフィス代表,森村学園高等部日本大学芸術学部造形科（中退）米国オレゴン州・マルトノマJr・カレッジ,{{JPN}}・東京都大田区北千束,{{生年月日と年齢|1945|3|30}},,-1
female,北原 みのり,きたはら みのり,1146686,1970.0,,,,著作家、社会活動家、実業家,津田塾大学卒業日本女子大学大学院中退,{{JPN}}・神奈川県横浜市,{{生年月日と年齢|1970|11|24}},,-1
female,神近 市子,かみちか いちこ,1191247,1888.0,,,,,,,,,-1
female,石垣 綾子,いしがき あやこ,1206007,1903.0,,,,,,,,,-1
female,管野 スガ,かんの スガ,1342266,1881.0,,,,ジャーナリスト・革命家,,,,,-1
female,小口 みち子,おぐち みちこ,1956109,1883.0,,,,美容家、歌人、婦人運動家、小説家,,{{JPN}} 兵庫県加東郡社村,1883年2月8日,{{JPN}},-1
female,鎌田 安里紗,かまだ ありさ,2034147,1992.0,,,,,,,,,-1
female,瓜生 岩子,うりゅう いわこ,2244658,1829.0,,,,社会事業家,,{{JPN}}：陸奥国耶麻郡熱塩村（現：福島県喜多方市）,1829年3月19日,,-1
female,九津見 房子,くつみ ふさこ,38475,1890.0,,,,社会運動家,岡山県立岡山高等女学校（中退）,岡山県岡山市弓之町（現・北区内）,1890年10月18日,{{JPN}},-1
female,沢田 美喜,さわだ みき,137714,1901.0,,,,社会事業家,東京女子高等師範学校附属高等女学校中退,{{JPN}}・東京府東京市本郷区（現・東京都文京区）,1901年9月19日,{{JPN}},-1
female,住井 すゑ,すみい すえ,221418,1902.0,,,,小説家,,{{JPN}} 奈良県磯城郡平野村（現：田原本町満田）,{{生年月日|1902|01|07}},,-1
female,九条 武子,くじょう たけこ,287390,1887.0,,,,,,,,,-1
female,中沢 けい,なかざわ けい,302091,1959.0,,,,,,,,,-1
female,坂本 真琴,さかもと まこと,313926,1889.0,,,,婦人運動家、評論家,共立女学校,静岡県田方郡三島町（現・三島市）,1889年5月7日,{{JPN}},-1
female,下田 歌子,しもだ うたこ,336775,1854.0,,,,教育者,,{{JPN}} 美濃国恵那郡岩村（現在の岐阜県恵那市）,1854年9月29日,,-1
female,中島 湘煙,なかじま しょうえん,393865,1864.0,,,,,,京都,{{生年月日と年齢|1864|01|13|死去}},{{JPN}},-1
female,東條 満喜枝,とうじょう まきえ,417988,1923.0,,,,,,,,,-1
female,佐藤 初女,さとう はつめ,512970,1921.0,,,,福祉活動家・教育者。,,,{{生年月日と年齢|1921|10|3|no}},{{JPN}},-1
female,中野 栄美子,なかの えみこ,822875,1967.0,,157 cm,,タレント,龍谷大学大学院政策学研究科,{{JPN}}・滋賀県,{{生年月日と年齢|1967|6|2}},,-1
female,田中 里子,たなか さとこ,1012210,1925.0,,,,市民運動家,実践女子専門学校,東京都京橋,{{生年月日と年齢|1925|10|7|no}},{{JPN}},-1
female,楠瀬 喜多,くすのせ きた,1128570,1836.0,,,,,,,,,-1
female,久布白 落実,くぶしろ おちみ,1522059,1882.0,,,,,,,,,-1
female,東海林路 得子,しょうじ るつこ,1551132,1933.0,,,,,,,,,-1
female,白井 久井,しらい ひさい,1935515,1849.0,,,,,,,,,-1
female,斎藤 百合,さいとう ゆり,2316371,1891.0,,,,社会運動家,東京女子大学,愛知県八名郡石巻村（現・豊橋市）,1891年3月31日,,-1
female,丹野 セツ,たんの せつ,2369274,1902.0,,,,,,,,,-1
female,隅谷 茂子,すみたに しげこ,5050321,1917.0,,,,,,,,,-1
female,西川 真規子,にしかわ まきこ,4852065,1966.0,,,,,,,,,-1
female,池田 香峯子,いけだ かねこ,4849811,1932.0,,,,教育者ビジャ・マリア大学名誉教授,サンタマリア大学名誉法学博士号取得,{{JPN}},{{生年月日と年齢|1932|02|27}},,-1
female,清水 晶子,しみず あきこ,4791477,1970.0,,,,,東京大学大学院人文科学研究科ウェールズ大学カーディフ校,{{JPN}} 東京都,{{生年と年齢|1970}},,-1
female,吉田 綾,よしだ あや,4756384,,,,,,,,,,-1
female,金子 おなじ,かねこ おなじ,4738840,1872.0,,,,,,,,,-1
female,淀川 詔子,よどがわ のりこ,4673003,,,,,,,,,,-1
female,村越 貴代美,むらこし きよみ,4584238,1962.0,,,,,,,,,-1
female,石井 雪枝,いしい ゆきえ,4571711,1909.0,,,,,,,,,-1
