birth_date,birth_place,birth_year,blood_type,drop,education,extract,height,hiragana,infobox,kanji,nationality,occupation,pageid,sex,title,weight
,,1958,,False,,-1,,あいもと くみこ,-1,相本久美子,,,65980,female,相本久美子,
,,1985,,False,,-1,,あいざわ りん,-1,愛沢りん,,,317406,female,愛沢りん,
,,1976,,False,,-1,,あいか みさ,-1,愛禾みさ,,,930476,female,愛禾みさ,
,,1972,,False,,-1,,あいかわ えり,-1,相川恵里,,,1185649,female,相川恵里,
,,1988,,False,,-1,,あいかわ ひめな,-1,愛河姫奈,,,1497110,female,愛河姫奈,
{{生年月日と年齢|1970|2|23}},{{JPN}}、東京都東村山市別冊宝島2611『80年代アイドルcollection』p.51,1970,,False,文華女子高等学校卒,-1,,あいだ しょうこ,-1,相田翔子,,女優、歌手、タレント,1614887,female,相田翔子,
{{生年月日と年齢|1960|04|28}},{{JPN}}・東京都,1960,,False,堀越高等学校 卒業,-1,,あおき みさえ,-1,青木美冴,,歌手・女優,1746170,female,青木美冴,
,,1993,,False,,-1,,あいたに りほ,-1,藍谷莉穂,,,1819649,female,藍谷莉穂,
,,1998,,False,,-1,,あおい わかな,-1,葵わかな,,,1880515,female,葵わかな,
,,1988,,False,,-1,,あいだ まい,-1,藍田舞,,,2013500,female,藍田舞,
,,1994,,False,,-1,,あいかわ ゆう,-1,相川結,,,2081223,female,相川結,
,,1996,,False,,-1,,あいかわ せいな,-1,相川聖奈,,,2095567,female,相川聖奈,
,,1989,,False,,-1,,あいた あい,-1,相多愛,,,2172659,female,相多愛,
,,1991,,False,,-1,,あいかわ こずえ,-1,愛川こずえ,,,2259781,female,愛川こずえ,
,,,,False,,-1,,あいざわ りさ,-1,相沢梨紗,,,3251540,female,相沢梨紗,
{{生年月日と年齢|1994|07|18}},{{JPN}}・奈良県生駒市,1994,,False,大阪大学人間科学部社会学科卒業,-1,,あいたに れいな,-1,相谷レイナ,,シンガーソングライター,3455399,female,相谷レイナ,
,,1992,,False,,-1,,あいだ まりえ,-1,藍田麻利衣,,,3668056,female,藍田麻利衣,
,,1999,,False,,-1,,あいざわ るか,-1,相澤瑠香,,,3725225,female,相澤瑠香,
1989年8月31日,{{JPN}}・東京都,,,False,,-1,,あいかわ なつ,-1,相川なつ,,歌手、作詞家、声優、女優,3780086,female,相川なつ,
,,1996,,False,,-1,,あおの なつき,-1,青野夏希,,,4976983,female,青野夏希,
,,1998,,False,,-1,,あおい みゆう,-1,青井海優,,,4795997,female,青井海優,
,,2007,,False,,-1,,あいせ りお,-1,愛瀬りお,,,4653879,female,愛瀬りお,
,,1996,,False,,-1,,あおば ひなり,-1,青葉ひなり,,,4602150,female,青葉ひなり,
非公開,大阪府大阪市天神橋筋6丁目,,,False,,-1,154cm,あいかわ はるか,-1,藍川はるか,,,4570741,female,藍川はるか,45kg
,,1995,,False,,-1,,あおい りょうか,-1,葵涼花,,,4459959,female,葵涼花,
,,2006,,False,,-1,,あいば せいら,-1,相羽星良,,,4346247,female,相羽星良,
,,2003,,False,,-1,,あいかわ ほのか,-1,相川暖花,,,4305715,female,相川暖花,
,,2001,,False,,-1,,あおやぎ ゆめ,-1,青柳佑芽,,,4276694,female,青柳佑芽,
,,2000,,False,,-1,,あおうみ ひなの,-1,青海ひな乃,,,4232428,female,青海ひな乃,
,,1997,,False,,-1,,あおしな まき,-1,青科まき,,,4140101,female,青科まき,
,,2004,,False,,-1,,あいけい あつき,-1,愛敬淳希,,,4137628,female,愛敬淳希,
,,1991,,False,,-1,,あいさこ みゆ,-1,愛迫みゆ,,,4036998,female,愛迫みゆ,
,,1976,,False,,-1,,あいだ ましお,-1,藍田真潮,,,4017438,female,藍田真潮,
,,2003,,False,,-1,,あいかわ くるみ,-1,相川くるみ,,,3989431,female,相川くるみ,
,,1997,,False,,-1,,あいぞめ かれん,-1,藍染カレン,,,3941209,female,藍染カレン,
,,1972,,False,,-1,,あがりた あき,-1,揚田亜紀,,,232802,female,揚田亜紀,
,,1968,,False,,-1,,あがつま かよ,-1,我妻佳代,,,345340,female,我妻佳代,
